City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
207,Hamilton,US,81.64,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
208,San Cristobal,VE,86.18,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
209,Sibolga,ID,76.32,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
211,Matara,LK,78.44,light rain,5.9485,80.5353,Amaloh Boutique Resort
213,Manta,EC,78.58,few clouds,-0.95,-80.7333,Balandra Hotel
215,Honolulu,US,76.86,clear sky,21.3069,-157.8583,Aston at the Executive Centre Hotel
217,Huilong,CN,78.93,light rain,31.8111,121.655,Hilton Garden Inn Qidong
218,Sao Felix Do Xingu,BR,92.12,broken clouds,-6.6447,-51.995,Rio Xingu Camping
219,Basoko,CD,79.18,scattered clouds,1.2391,23.616,Jackyna Hotel
224,Haikou,CN,77.13,mist,20.0458,110.3417,Sun City Restaurant
231,Vila Velha,BR,80.96,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
235,Port-Gentil,GA,78.84,overcast clouds,-0.7193,8.7815,Fengshui Residence
238,Mayo,US,81.27,few clouds,38.8876,-76.5119,Resorts Resource Group International
240,Ixtapa,MX,84.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
242,Port Moresby,PG,78.22,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
244,Sur,OM,84.09,broken clouds,22.5667,59.5289,Sur Plaza Hotel
245,Kumluca,TR,77.74,few clouds,36.3703,30.2869,TurkuazKöy
246,Riyadh,SA,87.94,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
247,Balabac,PH,82.08,few clouds,7.9868,117.0645,Sing and Swing Lodge
256,Salalah,OM,82.72,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
262,Natal,BR,84.42,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
264,Yanam,IN,75.83,overcast clouds,16.7333,82.2167,The Regency Hotel
268,Pagudpud,PH,80.01,broken clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
270,Odweyne,SO,84.99,overcast clouds,9.4092,45.064,Eng Hiirey House
271,Ishigaki,JP,83.64,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
273,Arauca,CO,85.6,light rain,7.0847,-70.7591,Hotel Verano Plaza
274,Kalemie,CD,78.39,broken clouds,-5.9475,29.1947,Mahobilali
275,Sola,VU,79.14,broken clouds,-13.8833,167.55,Leumerus Bungalows
277,Agadir,MA,91.85,clear sky,30.4202,-9.5982,Iberostar Founty Beach
280,Mlimba,TZ,82.94,few clouds,-8.8,35.8167,California Lodge
288,Snyder,US,80.74,clear sky,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
289,Praxedis Guerrero,MX,80.82,clear sky,31.3667,-106.0167,Congregación placitas de Otero
290,Salvador,SV,82.47,broken clouds,13.8333,-88.9167,Chico's Ranch
293,Corbelia,BR,92.07,clear sky,-24.7989,-53.3067,Hotel Peroza
295,Lorengau,PG,81.18,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
296,Sotouboua,TG,78.35,light rain,8.5667,0.9833,Auberge Médina
298,Gigmoto,PH,80.17,overcast clouds,13.7796,124.39,Cj's Travellers Inn
299,Kahului,US,78.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
305,Siocon,PH,78.55,broken clouds,7.7061,122.1353,ABS Hotel
307,Sikonge,TZ,82.18,overcast clouds,-5.6333,32.7667,Pretoria 2 Lodge
308,Siuna,NI,88.36,clear sky,13.7332,-84.7773,hotel los chinitos
309,Nyimba,ZM,86.13,overcast clouds,-14.5566,30.8149,Dali Dali Lodge
310,Cabo San Lucas,MX,90.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
312,Kieta,PG,78.57,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
316,Vryburg,ZA,79.36,broken clouds,-26.9566,24.7284,Times Premier Lodge
321,Illapel,CL,81.64,clear sky,-31.6308,-71.1653,Hotel Londres
324,Breves,BR,94.78,few clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
325,Yerraguntla,IN,77.79,overcast clouds,14.6372,78.5395,M Y R Lodge
330,Carutapera,BR,86.61,broken clouds,-1.195,-46.02,Lidera
336,Kuching,MY,77.22,few clouds,1.55,110.3333,The Ranee Boutique Suites
337,Kolondieba,ML,88.41,broken clouds,11.0882,-6.8926,Hotel Dakan
340,Tucurui,BR,91.72,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
343,Salinopolis,BR,85.39,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
346,Torres,BR,91.83,clear sky,-29.3353,-49.7269,Farol Hotel
348,Payson,US,80.02,clear sky,40.0444,-111.7321,Quality Inn Payson I-15
351,San Andres,CO,87.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
352,Sterling,US,80.28,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
353,Havelock,US,82.06,clear sky,34.8791,-76.9013,Sherwood Motel
359,Reconquista,AR,93.51,clear sky,-29.15,-59.65,Grand Hotel
360,Ciudad Bolivar,VE,94.32,clear sky,8.1222,-63.5497,Hotel Edi
363,Sabha,LY,82.65,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
371,Uthal,PK,88.36,broken clouds,25.8072,66.6219,Al-Mustafa Hotel
372,Maumere,ID,78.1,overcast clouds,-8.6199,122.2111,Sylvia Hotel
373,Quelimane,MZ,78.75,clear sky,-17.8786,36.8883,Hotel Flamingo
380,Biltine,TD,85.66,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
381,Sao Filipe,CV,80.87,scattered clouds,14.8961,-24.4956,Hotel Xaguate
382,Bojonegoro,ID,77.95,broken clouds,-7.1502,111.8817,Dewarna Hotel & Convention
383,Bela,IN,83.57,clear sky,25.9333,81.9833,Raj Bhawan
384,Macenta,GN,80.85,overcast clouds,8.5435,-9.471,Hôtel Yansané
386,Casper,US,81.5,clear sky,42.8666,-106.3131,Ramkota Hotel
387,Nueva Gorgona,PA,89.71,overcast clouds,8.55,-79.8667,Coronado Luxury Club & Suites
388,Luganville,VU,75.72,broken clouds,-15.5333,167.1667,The Espiritu Hotel
389,Nishihara,JP,79.88,few clouds,26.1842,127.7558,Minshuku Agaihama
394,Kadirli,TR,77.02,clear sky,37.3739,36.0961,Karatepe Park Otel
395,Buin,CL,78.06,scattered clouds,-33.7333,-70.75,Paihuen
400,Luwuk,ID,76.28,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
401,Ormara,PK,84.02,broken clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
408,Iracoubo,GF,87.42,clear sky,5.4802,-53.2011,Le Gîte d’Iracoubo
409,Westport,US,78.98,broken clouds,41.1415,-73.3579,The Westport Inn
417,Khed,IN,75.92,overcast clouds,17.7167,73.3833,Swagat Lodge
418,Susangerd,IR,93.22,clear sky,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
419,Jasper,US,84.97,broken clouds,37.2001,-94.3502,Guest House Motel
422,Oistins,BB,87.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
425,Makakilo City,US,75.56,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
429,Virginia Beach,US,81.01,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
431,San Patricio,US,89.08,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
432,Kavaratti,IN,81.64,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
433,Balotra,IN,89.6,few clouds,25.8333,72.2333,Hotel City Square
434,Goya,AR,94.19,clear sky,-29.14,-59.2626,Apart Costanera Goya
437,Sao Joao Da Barra,BR,80.69,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
438,Lansing,US,77.61,broken clouds,42.7325,-84.5555,Quality Inn University
440,Rodrigues Alves,BR,91.6,clear sky,-7.738,-72.6509,Pousada Aconchego
442,Hambantota,LK,80.56,broken clouds,6.1241,81.1185,Bungalow 63
444,Sarankhola,BD,78.98,light rain,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
449,Caravelas,BR,80.33,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
453,Russell,US,83.97,clear sky,32.3502,-85.1999,Macs
464,Estelle,US,85.03,scattered clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
467,Copperas Cove,US,85.35,overcast clouds,31.1241,-97.9031,Super 8 by Wyndham Copperas Cove
472,Akyab,MM,79.14,overcast clouds,20.15,92.9,Hotel Memory
474,Angoche,MZ,77.9,scattered clouds,-16.2325,39.9086,Guest House HESADA
476,General Bravo,MX,86.81,scattered clouds,25.8,-99.1667,Hotel Don Joaquin
484,San Antonio,US,86.52,scattered clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
486,Santol,PH,77.5,broken clouds,15.1622,120.5675,Lewis Grand Hotel
487,Caluquembe,AO,75.27,overcast clouds,-13.7833,14.6833,Hotel Kalukembe
491,Tautira,PF,77.02,overcast clouds,-17.7333,-149.15,Pension Oaoa
498,Santiago De Cuba,CU,86.52,scattered clouds,20.0247,-75.8219,Cubanacan San Felix
501,Santa Cruz,BO,91.45,smoke,-17.8,-63.1667,Aviador Hotel Boutique
505,Omboue,GA,78.17,overcast clouds,-1.5746,9.2618,Hotel Olako
